Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_4NFE_8708_uff_E=457.17,-4.3,3.715,3.245
Prep_4NFE_2332_uff_E=77.84,-4.1,10.112,9.266
Prep_4NFE_697993_uff_E=312.52,-3.8,10.332,10.086
Prep_4NFE_65998_uff_E=514.78,-6.4,8.303,5.743
Prep_4NFE_10195250_uff_E=596.22,-6.4,7.777,4.691
Prep_4NFE_15951529_uff_E=873.89,-6,9.55,2.881
Prep_4NFE_91716_uff_E=491.71,-5.9,8.18,5.919
Prep_4NFE_100334_uff_E=651.31,-5.8,7.783,4.094
Prep_4NFE_11618368_uff_E=782.09,-5.4,9.787,3.858
Prep_4NFE_3639_uff_E=948.06,-5.1,5.838,4.429
Prep_4NFE_16954_uff_E=574.98,-4.7,5.887,3.317
Prep_4NFE_39040_uff_E=671.04,-4.3,11.621,10.413
Prep_4NFE_8708_uff_E=457.17,-4.2,9.163,6.968
Prep_4NFE_2332_uff_E=77.84,-3.9,9.183,8.455
Prep_4NFE_697993_uff_E=312.52,-3.5,11.739,9.744
