Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_1JTV_65998_uff_E=514.78,-8.1,2.1,1.516
Prep_1JTV_6013_uff_E=473.51,-7.2,8.187,3.18
Prep_1JTV_11618368_uff_E=782.09,-6.9,2.11,1.886
Prep_1JTV_100334_uff_E=651.31,-6.8,11.609,5.479
Prep_1JTV_91716_uff_E=491.71,-6.6,14.292,9.046
Prep_1JTV_3639_uff_E=948.06,-6.1,3.561,3.1
Prep_1JTV_16954_uff_E=574.98,-6,9.716,6.366
Prep_1JTV_39040_uff_E=671.04,-5.7,12.552,11.441
Prep_1JTV_8708_uff_E=457.17,-5.4,3.218,1.956
Prep_1JTV_697993_uff_E=312.52,-4.4,21.631,20.58
Prep_1JTV_10195250_uff_E=596.22,-8.7,13.147,6.76
Prep_1JTV_24889392_uff_E=1189.44,-8.3,3.957,2.583
Prep_1JTV_15951529_uff_E=873.89,-8,5.409,3.289
Prep_1JTV_65998_uff_E=514.78,-7.9,11.692,5.356
Prep_1JTV_6013_uff_E=473.51,-7.2,6.459,1.538
Prep_1JTV_11618368_uff_E=782.09,-6.9,9.327,3.451
Prep_1JTV_100334_uff_E=651.31,-6.8,9.018,2.187
Prep_1JTV_91716_uff_E=491.71,-6.6,16.2,12.29
Prep_1JTV_3639_uff_E=948.06,-5.9,5.39,2.205
Prep_1JTV_16954_uff_E=574.98,-5.9,9.374,3.179
Prep_1JTV_39040_uff_E=671.04,-5.7,12.697,11.709
Prep_1JTV_8708_uff_E=457.17,-5.4,7.505,2.148
Prep_1JTV_697993_uff_E=312.52,-4.4,16.063,15.116
